BlockId,Replicate,mqcClass,mqcConfidence,MedianExcess,NumExcess,ExcessHSA,ExcessCRX,LS3x3,Beta,Gamma,DBSumPos,DBSumNeg
1,1,good,0.982845,90.15235,40.0,-207.37259,510486.77096,-23.14352,0.98254,0.97966,2.13352,-3.84828
2,1,good,0.989987,68.84827,24.0,974.84905,420006.1221,-4.78811,1.15039,1.13877,11.12941,-0.39168
3,1,good,0.933244,84.34058,56.0,-424.91262,391187.94919,-26.76893,0.93801,0.93071,0.2913,-3.75258
4,1,good,0.974133,53.45855,34.0,-520.8369,330876.48102,-32.15873,0.95762,0.95693,0.18655,-5.3366
5,1,good,0.982874,98.48146,21.0,514.63707,191722.50325,-0.51396,1.06089,1.06094,5.78702,-0.25163
6,1,good,0.974133,98.47748,6.0,165.64465,491871.85219,0.0,1.01017,1.01017,2.04812,-0.39168
7,1,good,0.989305,79.36696,42.0,-432.07215,507233.72237,-16.2088,0.96475,0.96045,0.33071,-4.05096
8,1,good,0.817592,91.35761,13.0,299.78068,155896.69316,-0.22099,1.04756,1.04517,3.53177,-0.28899
9,1,good,0.8179,96.87872,33.0,111.11277,160636.93397,-1.44317,1.01624,1.01592,1.62692,-0.42934
10,1,good,0.95076,90.26559,69.0,-565.58236,117728.98013,-46.20285,0.85566,0.84893,1.17936,-5.42707
11,1,good,0.982097,78.57997,50.0,-92.15616,91311.18641,-5.37998,0.9781,0.9698,0.88019,-0.87388
12,1,good,0.95338,88.44157,65.0,-135.34324,90018.38878,-10.27497,0.99871,0.98325,0.72555,-1.13183
13,1,good,0.982687,64.70912,56.0,-643.24568,301758.86813,-35.88138,0.94934,0.94495,0.04743,-5.94473
14,1,good,0.933244,64.63359,47.0,-119.62387,433297.46051,-7.71897,0.9989,0.99072,0.66619,-1.05796
15,1,good,0.972608,32.97871,41.0,-464.85052,510617.36136,-26.83296,0.96073,0.95901,0.35586,-4.86559
16,1,medium,0.520949,89.53532,30.0,-82.30675,330147.42006,-41.85713,1.03799,1.02461,4.5241,-4.73941
17,1,good,0.949362,78.80134,32.0,-269.87985,310063.46161,-21.39648,0.98198,0.9802,0.64922,-3.1934
18,1,good,0.972608,31.37969,40.0,-303.42888,316090.57988,-19.19418,0.97559,0.97478,0.09093,-3.03111
19,1,good,0.74557,82.22794,26.0,660.27176,204248.4526,-7.50572,1.16895,1.13018,9.16112,-1.14553
20,1,good,0.972608,88.28725,19.0,-15.06117,307260.75834,-3.53343,0.99906,0.99785,1.06947,-1.11917
21,1,good,0.974133,95.00393,33.0,-614.26671,321965.71775,-40.66147,0.94695,0.94556,0.24065,-6.28242
22,1,good,0.882168,85.33619,36.0,-138.60513,259232.24214,-6.00305,0.98232,0.98018,0.72266,-1.91412
23,1,good,0.974133,97.26754,20.0,-339.76559,329867.33022,-15.0747,0.97183,0.97139,0.51288,-3.87301
24,1,good,0.974133,94.37671,25.0,-244.02636,323892.04707,-24.47698,0.98171,0.98148,0.33539,-2.74913
25,1,good,0.8965,95.54495,34.0,-114.05698,261605.74625,-5.09976,0.98931,0.9881,0.50465,-1.5626
26,1,good,0.971045,81.30459,33.0,-71.79726,392675.41148,-5.5775,0.99595,0.99402,0.63964,-1.08927
27,1,good,0.969459,51.72206,39.0,-81.46731,174494.52964,-10.62166,0.99805,0.98438,1.63179,-1.00727
28,1,good,0.969052,75.34466,35.0,-190.59726,95811.23494,-12.83033,0.96963,0.95222,0.13761,-1.1181
29,1,good,0.82423,97.62368,17.0,319.25848,160405.41912,-0.20907,1.023,1.02295,3.40381,-0.13742
30,1,good,0.974133,44.47547,39.0,-189.51206,299822.77426,-8.06587,0.98403,0.98335,0.60091,-2.43297
31,1,medium,0.806456,86.89207,30.0,583.73638,129324.3116,-0.77563,1.12451,1.11157,6.81924,-0.18925
32,1,good,0.964071,75.15416,36.0,-168.56695,366449.59605,-6.40387,0.9884,0.98671,0.36809,-1.71063
33,1,good,0.997517,89.06562,51.0,-470.21818,407514.71054,-20.68241,0.95029,0.94922,0.13674,-4.56103
34,1,good,0.940537,89.78217,45.0,-7.77219,288728.43343,-1.00984,1.0045,1.00234,0.89177,-0.49166
35,1,good,0.982845,66.76316,28.0,-23.82141,398198.87294,-3.77378,0.99795,0.9957,1.14148,-0.77256
36,1,good,0.961338,50.97564,15.0,-387.42527,365031.97861,-11.35338,0.9606,0.9605,1.22477,-5.0946
37,1,good,0.972608,79.0186,10.0,532.24831,288927.67393,-0.14715,1.01958,1.01831,6.08142,-0.62848
38,1,good,0.834004,98.30565,45.0,-495.92865,254561.63735,-25.44143,0.94343,0.94209,0.06234,-4.94684
39,1,good,0.980335,72.06264,12.0,1075.23731,231788.89593,-1.90412,1.15029,1.14092,12.15002,-0.26378
40,1,good,0.997605,85.77155,29.0,-304.48461,667790.38945,-21.98522,0.97007,0.96843,1.20064,-4.04698
41,1,good,0.987032,58.01058,25.0,-176.18164,583164.69744,-13.40114,0.9823,0.97871,1.3255,-2.68776
42,1,good,0.961485,92.13497,55.0,-523.63945,504392.55084,-29.11419,0.94421,0.93613,0.32599,-4.93708
43,1,good,0.997605,52.11006,42.0,-388.05541,666994.18607,-21.02869,0.96605,0.96431,0.17159,-3.79719
44,1,good,0.975486,72.94901,23.0,-133.93543,465548.99833,-2.91602,0.99009,0.98871,0.26299,-1.42637
45,1,good,0.976952,77.92435,26.0,-332.92679,631203.80942,-16.90529,0.95945,0.95779,0.35184,-3.56493
46,1,medium,0.672685,52.83243,1.0,518.13309,600681.31634,0.0,1.05088,1.05088,5.36532,-0.18398
47,1,good,0.974133,36.86508,38.0,-269.46606,426077.32382,-11.77084,0.9778,0.9778,0.03097,-2.72563
48,1,good,0.935488,35.82767,6.0,-61.65047,626901.89246,0.0,0.99437,0.99436,0.14576,-0.76058
49,1,good,0.974133,36.37474,12.0,605.33243,492229.6962,0.0,1.01775,1.01773,6.67629,-0.61112
50,1,good,0.834004,81.99511,26.0,-151.2468,419051.11884,-3.43868,0.98115,0.98115,0.17656,-1.68902
51,1,medium,0.816304,5.27285,5.0,-26.44366,631664.76865,0.0,0.99732,0.99732,0.13903,-0.40347
52,1,good,0.766105,88.99306,42.0,-292.68816,421275.31417,-22.37508,1.00015,0.99111,0.92102,-3.57052
53,1,good,0.998012,48.19837,30.0,447.87464,397606.82774,-7.95922,1.03733,1.03408,6.1758,-1.04824
54,1,good,0.997609,52.1139,47.0,-217.6668,423284.24873,-12.4393,0.98306,0.9802,0.25722,-1.98918
55,1,good,0.961485,67.33722,44.0,-65.54218,311132.83231,-4.68015,0.99992,0.9926,1.38757,-1.17687
56,1,good,0.99387,70.8556,31.0,161.1823,325288.62586,-8.03144,1.04202,1.03159,3.49885,-0.71067
57,1,good,0.868996,74.46313,24.0,-226.57652,330628.18053,-18.20971,0.95586,0.95571,0.35795,-2.60773
58,1,good,0.975975,84.65739,6.0,267.73065,277183.37556,0.0,1.02905,1.02811,2.93263,-0.04022
59,1,good,0.934353,87.47934,27.0,-195.22413,242661.39206,-6.16186,0.9696,0.96521,0.2413,-1.86325
60,1,good,0.974281,86.73468,36.0,-2.91622,251253.89926,-4.58124,0.99841,0.99763,0.61741,-0.39
61,1,good,0.873074,56.93521,29.0,-315.48618,466275.90657,-22.37891,0.97224,0.96829,0.32727,-3.23858
62,1,good,0.976841,66.32486,20.0,-18.04712,411270.89853,-0.11806,0.99824,0.99421,1.07887,-1.00504
63,1,good,0.933244,85.70664,39.0,-194.55249,334096.85267,-17.42231,0.97444,0.96908,0.38625,-2.012
64,1,good,0.941087,99.04846,36.0,-113.41341,209109.57304,-5.32919,0.98589,0.98301,0.32265,-1.29129
65,1,good,0.91525,70.35731,56.0,-296.79635,165410.34436,-10.1773,0.94085,0.91033,0.07363,-2.17905
66,1,good,0.944847,97.24668,33.0,-548.64673,464233.09155,-20.83245,0.93667,0.9344,0.55528,-5.90549
67,1,good,0.982845,31.30916,13.0,238.03889,372341.12277,-1.13533,1.02282,1.02087,3.07871,-0.31435
68,1,good,0.940537,67.41416,47.0,-140.50686,303010.13128,-9.07451,0.98691,0.98114,0.52389,-1.32952
69,1,good,0.982845,65.70378,37.0,-75.98839,430007.83949,-8.20315,0.98881,0.98574,1.05556,-1.22682
70,1,good,0.966344,72.10085,38.0,-138.68186,375290.14705,-21.42981,0.98984,0.9802,1.34856,-1.90792
71,1,good,0.96969,21.38863,11.0,92.05646,689378.99666,0.0,1.00426,1.00388,1.43992,-0.48187
72,1,good,0.974133,59.91825,24.0,-165.57093,645280.83985,-8.55957,0.98997,0.98948,0.31829,-1.92827
73,1,medium,0.680749,65.23335,29.0,967.34643,342134.66096,-1.96895,1.36231,1.26069,12.1458,-0.1806
74,1,medium,0.450098,3.81248,10.0,68.75952,731135.44619,0.0,1.00614,1.00614,0.98095,-0.29335
75,1,good,0.970677,45.09471,25.0,-44.34589,655694.74932,-5.36937,1.00461,1.00061,1.08823,-1.03446
76,1,good,0.844549,59.59006,52.0,-190.20382,439809.10717,-6.12412,0.98717,0.97676,0.52919,-1.59792
77,1,good,0.96743,23.84571,63.0,-373.7776,566383.52364,-18.08019,0.9715,0.96382,0.14713,-3.05925
78,1,good,0.928537,5.77901,29.0,-75.17575,736819.82938,-3.40225,0.99273,0.99268,0.20104,-0.94544
79,1,good,0.768213,67.67009,27.0,882.38656,397885.2315,-6.54804,1.21953,1.17188,11.08595,-0.87982
80,1,good,0.997605,27.84554,34.0,-174.50633,311983.4874,-9.14137,0.99021,0.98652,1.21487,-2.50801
81,1,good,0.981568,82.3728,37.0,-591.25101,311025.84175,-38.88317,0.95469,0.94917,0.82731,-6.16674
82,1,good,0.966884,61.68997,31.0,41.89331,220109.7779,-6.48859,1.00916,1.00288,1.85557,-0.90948
83,1,good,0.970677,26.95982,53.0,-787.22021,326809.40891,-48.56886,0.93198,0.92817,0.19258,-7.68881
84,1,good,0.989305,66.88529,39.0,-45.83864,265973.09446,-10.80836,1.00043,0.99619,1.55439,-1.4924
85,1,good,0.974727,84.91304,46.0,-347.38754,215881.67965,-30.36157,0.99097,0.97764,2.11625,-4.68444
86,1,good,0.997608,13.54642,31.0,-84.85898,312134.87156,-10.06412,0.99723,0.99353,1.55447,-1.94615
87,1,good,0.973831,69.60731,39.0,-306.79545,303396.28574,-21.09932,0.97876,0.97605,0.59917,-3.34838
88,1,good,0.889305,75.8938,53.0,-303.45202,223919.08815,-12.98248,0.96356,0.9595,0.25192,-2.81626
89,1,good,0.98703,35.73355,60.0,-818.68806,317025.23934,-56.90654,0.92637,0.92222,0.29953,-8.05289
90,1,good,0.975279,58.04702,49.0,-267.85714,268531.42368,-8.00214,0.97941,0.97596,0.26266,-2.48921
91,1,good,0.968101,80.95077,53.0,-534.92745,213846.15424,-39.36584,0.95698,0.94629,3.16885,-7.4545
92,1,good,0.986733,66.5489,26.0,14.57278,549350.16769,-0.94967,1.00837,1.00403,1.34896,-0.54866
93,1,good,0.976352,78.36597,44.0,-250.84815,557124.64404,-13.67442,0.96897,0.96624,0.49106,-2.29529
94,1,good,0.971045,77.09628,36.0,234.31419,424803.92908,-1.93797,1.0324,1.02783,3.97944,-0.56464
95,1,good,0.989987,60.27743,48.0,359.34371,524508.03774,-10.38511,1.03911,1.02769,7.68101,-2.32847
96,1,good,0.982845,63.32366,40.0,-154.9554,580439.39357,-14.83302,0.99043,0.98328,1.65254,-1.89543
97,1,good,0.971045,61.5342,61.0,-317.45826,472586.61996,-15.12425,0.97727,0.96201,0.41935,-2.04892
98,1,good,0.990205,54.80172,22.0,5.06265,349513.97786,-6.38494,1.00341,1.00122,1.05446,-0.53598
99,1,good,0.99387,49.9188,39.0,-285.96251,326194.56993,-18.66749,0.95544,0.95083,1.3528,-3.58321
100,1,good,0.961485,67.1199,42.0,-136.49284,270470.11607,-14.31164,0.99341,0.98621,0.95432,-1.52954
101,1,good,0.99387,79.20914,49.0,-492.89204,339735.31874,-33.69732,0.96731,0.9592,0.66097,-4.70345
102,1,good,0.988038,88.89223,49.0,-514.34036,251667.34658,-31.52948,0.94233,0.93901,0.25449,-4.75773
103,1,good,0.997249,61.44849,30.0,124.9511,249758.90042,-8.45587,1.04829,1.02838,3.6524,-0.65819
104,1,good,0.997619,62.69178,23.0,-96.82031,291607.8058,-20.20937,0.99421,0.99229,1.07178,-1.72131
105,1,good,0.99387,93.49594,45.0,-719.49579,299686.76799,-42.22441,0.93044,0.92864,0.18569,-7.04634
106,1,good,0.961485,91.65567,45.0,-119.62049,222439.93417,-14.26222,0.98486,0.98315,0.99701,-1.74156
107,1,good,0.997616,73.93171,26.0,-107.29196,307824.24898,-22.9,0.99253,0.99,1.51986,-2.1806
108,1,good,0.99387,74.49979,30.0,-5.8528,258035.90409,-8.48111,1.00237,0.9991,1.76722,-1.32931
109,1,good,0.992886,85.62308,48.0,-361.47135,218892.26101,-23.15572,0.96423,0.95903,0.57209,-3.72293
110,1,good,0.96743,53.03003,14.0,137.47234,321457.06052,-1.27817,1.00796,1.00676,2.09931,-0.54676
111,1,good,0.973185,84.13799,39.0,-273.09595,374611.54768,-16.20202,0.96875,0.96499,0.33825,-2.77826
112,1,good,0.997609,48.57159,17.0,188.90542,486637.32229,-0.69513,1.00864,1.00745,3.1109,-1.03248
113,1,good,0.989845,54.11344,38.0,-41.15583,434373.13249,-2.57266,0.99611,0.99226,1.30276,-1.08463
114,1,good,0.99387,81.68944,48.0,-116.99476,425052.86612,-10.42184,1.00183,0.9973,0.66906,-1.33659
115,1,good,0.997124,47.13451,34.0,67.2759,413762.52332,-4.48851,1.01945,1.01434,1.89032,-0.66134
116,1,good,0.997591,32.63166,28.0,158.23337,338388.3317,-4.57289,1.01021,1.00806,3.80144,-1.69346
117,1,good,0.954591,95.31493,46.0,-380.75908,300150.80527,-29.23798,0.94268,0.94199,0.1109,-3.80108
118,1,good,0.997452,76.98752,15.0,184.45658,414112.63115,-5.81716,1.02341,1.01979,2.81746,-0.48113
119,1,good,0.992886,48.7454,37.0,-87.89119,403598.98703,-8.45065,0.98865,0.98633,0.94284,-1.44324
